Title	Author	Star Rating	Review Count	Weeks on List
Next Year in Havana	Chanel Cleeton	4.4	N/A	1
The Thinnest Air	Minka Kent	4.1	2,396	6
A Steep Price	Robert Dugoni	4.7	1,314	2
The Woman in the Window	A. J. Finn	4.3	6,179	13
Jurassic Park	Michael Crichton	4.6	2,053	1
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	7
Sharp Objects	Gillian Flynn	4.2	7,811	2
The Handmaid's Tale	Margaret Atwood	4.1	15,354	43
Something in the Water	Catherine Steadman	3.8	1,262	6
The Outsider	Stephen King	4.4	4,188	9
The Perfect Couple	Elin Hilderbrand	4.2	1,036	4
All We Ever Wanted	Emily Giffin	4.1	1,175	3
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	38
Andrea Vernon and the Corporation for UltraHuman Protection	Alexander C. Kane	4.5	N/A	1
A Killer's Mind	Mike Omer	4.6	5,375	2
Spymaster	Brad Thor	4.6	N/A	2
Gracie's Secret	Jill Childs	3.9	N/A	4
Little Fires Everywhere	Celeste Ng	4.3	4,579	39
Single Malt Murder	Melinda Mullet	4.3	N/A	1
Whisper Me This	Kerry Anne King	4.5	2,845	2
When Life Gives You Lululemons	Lauren Weisberger	4.2	N/A	3
Before We Were Yours	Lisa Wingate	4.7	10,654	51
Crazy Rich Asians	Kevin Kwan	4.2	3,755	2
The Hate U Give	Angie Thomas	4.8	3,596	4
The Other Woman	Daniel Silva	4.4	1,969	1
The Other Woman	Daniel Silva	4.4	1,969	2
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	8
Something in the Water	Catherine Steadman	3.8	1,262	7
The Outsider	Stephen King	4.4	4,188	10
The Handmaid's Tale	Margaret Atwood	4.1	15,354	44
Sharp Objects	Gillian Flynn	4.2	7,811	3
A Killer's Mind	Mike Omer	4.6	5,375	3
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	39
Whisper Me This	Kerry Anne King	4.5	2,845	3
The Perfect Couple	Elin Hilderbrand	4.2	1,036	5
Little Fires Everywhere	Celeste Ng	4.3	4,579	40
Gracie's Secret	Jill Childs	3.9	N/A	5
All We Ever Wanted	Emily Giffin	4.1	1,175	4
The King Tides	James Swain	4.3	1,896	2
Before We Were Yours	Lisa Wingate	4.7	10,654	52
Crazy Rich Asians	Kevin Kwan	4.2	3,755	3
The Great Alone	Kristin Hannah	4.6	7,163	22
Spymaster	Brad Thor	4.6	N/A	3
What If Everybody Said That?	Ellen Javernick & Colleen Madden	4.2	N/A	1
Eleanor Oliphant Is Completely Fine	Gail Honeyman	4.6	5,657	1
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	9
A Killer's Mind	Mike Omer	4.6	5,375	4
The Handmaid's Tale	Margaret Atwood	4.1	15,354	45
Sharp Objects	Gillian Flynn	4.2	7,811	4
The Other Woman	Daniel Silva	4.4	1,969	3
Something in the Water	Catherine Steadman	3.8	1,262	8
Whisper Me This	Kerry Anne King	4.5	2,845	4
Crazy Rich Asians	Kevin Kwan	4.2	3,755	4
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	40
Snow Crash	Neal Stephenson	4.1	1,624	1
Thrawn: Alliances	Timothy Zahn	4.3	N/A	1
The Outsider	Stephen King	4.4	4,188	11
Two Weeks Notice	Whitney G.	4.4	1,227	1
The King Tides	James Swain	4.3	1,896	3
Pachinko	Min Jin Lee	4.5	2,724	1
His Banana	Penelope Bloom	4.5	1,197	1
Little Fires Everywhere	Celeste Ng	4.3	4,579	41
Ready Player One	Ernest Cline	4.6	19,096	36
Gracie's Secret	Jill Childs	3.9	N/A	6
The Naked Truth	Vi Keeland	4.5	N/A	1
Origin	Dan Brown	4.2	9,851	25
Two Weeks Notice	Whitney G.	4.4	1,227	2
Crazy Rich Asians	Kevin Kwan	4.2	3,755	5
A Killer's Mind	Mike Omer	4.6	5,375	5
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	10
Sharp Objects	Gillian Flynn	4.2	7,811	5
The Handmaid's Tale	Margaret Atwood	4.1	15,354	46
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	41
Something in the Water	Catherine Steadman	3.8	1,262	9
Whisper Me This	Kerry Anne King	4.5	2,845	5
The Other Woman	Daniel Silva	4.4	1,969	4
I Will Never Leave You	S. M. Thayer	3.5	1,469	1
The Outsider	Stephen King	4.4	4,188	12
His Banana	Penelope Bloom	4.5	1,197	2
The King Tides	James Swain	4.3	1,896	4
Still Not Over You	Nicole Snow	4.3	N/A	1
Reel of Fortune	Jana DeLeon	4.9	N/A	1
Paradox	Catherine Coulter	4.7	N/A	1
Eleanor Oliphant Is Completely Fine	Gail Honeyman	4.6	5,657	2
Ready Player One	Ernest Cline	4.6	19,096	37
Crazy Rich Asians	Kevin Kwan	4.2	3,755	6
Two Weeks Notice	Whitney G.	4.4	1,227	3
A Killer's Mind	Mike Omer	4.6	5,375	6
